STARS-C|13-MAR-2017 21:49:45.68|-4.985306906139357|-21.393381195898336|404.5314910372199
IRIDIUM 106 [+]|13-MAR-2017 21:49:45.68|117.14869417094863|-75.82401256948567|799.5418078702587
ORBCOMM FM28 [-]|13-MAR-2017 21:49:45.68|54.76950028954428|10.911483399243345|795.5216349670127
AMC-11 (GE-11)|13-MAR-2017 21:49:45.68|-130.86599527399483|0.045573811725497314|35783.89469166999
IRIDIUM 114 [+]|13-MAR-2017 21:49:45.68|-77.74581352448948|-5.653772876022278|788.3885985987763
GLOBALSTAR M078 [+]|13-MAR-2017 21:49:45.68|-115.62010904139574|-48.03264314520545|1432.146275624379
LEMUR-2-JEFF|13-MAR-2017 21:49:45.68|14.601873294050534|35.85674282804535|277.62254512356594
IRIDIUM 86 [+]|13-MAR-2017 21:49:45.68|67.70709788200293|37.30635419796095|791.776250523154
LANDSAT 8|13-MAR-2017 21:49:45.68|10.725289238804436|-31.754766769971365|716.4609672795123
LANDSAT 7|13-MAR-2017 21:49:45.68|-166.62591816764376|40.740452380369874|717.5361017122386
GLOBALSTAR M039 [-]|13-MAR-2017 21:49:45.68|149.28802742451745|-13.93764610435334|1423.495838836864
GLOBALSTAR M094 [+]|13-MAR-2017 21:49:45.68|54.89199701853613|-6.610607802692557|1424.2617007851568
GLOBALSTAR M047 [-]|13-MAR-2017 21:49:45.68|117.71715876177967|39.483018420182376|2001.8616289612391
GLOBALSTAR M086 [+]|13-MAR-2017 21:49:45.68|-153.8720374284936|26.206394039641996|1420.9003376634228
GLOBALSTAR M055 [-]|13-MAR-2017 21:49:45.68|5.653847217456587|33.553361302184214|1570.8461912866069
SDO|13-MAR-2017 21:49:45.68|-104.00812920367292|-27.548444302711065|35799.20715036823
GLOBALSTAR M063 [+]|13-MAR-2017 21:49:45.68|-115.90674301485296|51.09051306784138|1430.5820755747409
FLOCK 2E'-8|13-MAR-2017 21:49:45.68|-177.26317139155506|-2.6579932456689406|382.9454877264461
FLOCK 2E'-9|13-MAR-2017 21:49:45.68|106.70966099717646|50.38404525708952|385.48113111812836
IRIDIUM 16 [-]|13-MAR-2017 21:49:45.68|-132.40173905342877|-80.90453234252405|790.6069031909637
IRIDIUM 55 [+]|13-MAR-2017 21:49:45.68|-0.9927467793114886|67.34124584156727|796.2460428008708
IRIDIUM 63 [-]|13-MAR-2017 21:49:45.68|-54.82797425322072|-3.336534046203539|787.4007113105054
MEGHA-TROPIQUES|13-MAR-2017 21:49:45.68|-121.46882154527506|5.819564141490691|869.9800330037106
GPS BIIR-8  (PRN 16)|13-MAR-2017 21:49:45.68|-9.451090771968154|43.69527362561549|20245.722530614905
DUBAISAT-2|13-MAR-2017 21:49:45.68|166.84143749184264|-69.99669253678726|599.1757294489862
TECHSAT 1B (GO-32)|13-MAR-2017 21:49:45.68|176.12498421648604|80.26709861236414|834.1635790804767
DUBAISAT-1|13-MAR-2017 21:49:45.68|154.22386054926807|29.195051553138462|675.0216724165339
ORBCOMM FM12 [+]|13-MAR-2017 21:49:45.68|-166.8516338563186|12.451016113711338|776.5437578682886
SMAP|13-MAR-2017 21:49:45.68|118.6045284155827|-27.47637227663268|695.8175498098853
GLOBALSTAR M024 [-]|13-MAR-2017 21:49:45.68|-108.95283262287046|40.43865270061285|2125.7499923346923
GPS BIIR-6  (PRN 14)|13-MAR-2017 21:49:45.68|2.966782721202634|-55.052536451599856|19980.423581393687
GLOBALSTAR M040 [-]|13-MAR-2017 21:49:45.68|177.3754690811786|51.250985165654754|1431.782154096476
KAZEOSAT 2|13-MAR-2017 21:49:45.68|9.138463280604242|-43.471788525267826|627.5497291267584
IRIS|13-MAR-2017 21:49:45.68|-72.22922650152574|-48.28599082979466|656.9559178746385
KAZEOSAT 1|13-MAR-2017 21:49:45.68|-166.33206944015487|-3.168859259684321|762.7651553778496
INTELSAT 906 (IS-906)|13-MAR-2017 21:49:45.68|64.2062249287423|0.00233385203571914|35809.04993127043
INTELSAT 19 (IS-19)|13-MAR-2017 21:49:45.68|166.12006720049442|0.008432772157809108|35788.454311731315
FLOCK 2E'-2|13-MAR-2017 21:49:45.68|84.7772688475726|51.47233060718556|389.25229074448544
IRIDIUM 920 [-]|13-MAR-2017 21:49:45.68|94.26445833542135|-62.37805315103185|775.5179286534385
INTELSAT 26 (IS-26)|13-MAR-2017 21:49:45.68|64.56148375713974|3.324272834940165|35811.527986585126
FLOCK 2E'-3|13-MAR-2017 21:49:45.68|36.00953632642211|35.943617000053635|387.1512342210244
COSMOS 2463 [+]|13-MAR-2017 21:49:45.68|-111.00310530319423|39.89657700592921|983.0047604377814
FLOCK 2E'-1|13-MAR-2017 21:49:45.68|-163.59028821061554|-18.170509224081886|384.7557093444957
ORBCOMM FM105 [+]|13-MAR-2017 21:49:45.68|-61.71419803718855|-6.49520248097304|759.4536822204445
FLOCK 2E'-6|13-MAR-2017 21:49:45.68|146.8126455145453|36.16632835023986|387.63186441089783
FLOCK 2E'-7|13-MAR-2017 21:49:45.68|80.72800593409977|51.27499317848028|382.38039185581965
FLOCK 2E'-4|13-MAR-2017 21:49:45.68|139.98263710075742|39.028776585511054|384.5378384591604
FLOCK 2E'-5|13-MAR-2017 21:49:45.68|-178.63784239522383|2.889841887409552|388.2178235243673
DIRECTV 7S|13-MAR-2017 21:49:45.68|-118.91041822483626|-0.006786898522159981|35783.4654068159
DIRECTV 4S|13-MAR-2017 21:49:45.68|-101.0419096609173|-0.001003738915274861|35790.84970513753
